domain_code,domain,area_code_(m49),area,element_code,element,months_code,months,year_code,year,unit,value,flag,flag_description,pollution_level
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.7051956801764152,-1.7051956801764152,0,-0.7481290742711644,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.6510624839803385,-1.6510624839803385,0,-2.406085696872647,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.5969292877842618,-1.5969292877842618,0,-2.152346248544072,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.542796091588185,-1.542796091588185,0,-0.286784622764665,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.4886628953921086,-1.4886628953921086,0,-2.4839375730643685,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.434529699196032,-1.434529699196032,0,-0.9672676887367516,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.3803965029999552,-1.3803965029999552,0,-0.8692319927916206,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.3262633068038785,-1.3262633068038785,0,-0.9499672718052579,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.2721301106078018,-1.2721301106078018,0,-0.9672676887367516,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.217996914411725,-1.217996914411725,0,-0.941317063339511,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.1638637182156484,-1.1638637182156484,0,-1.0826038016133765,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.109730522019572,-1.109730522019572,0,-2.126395623146832,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.0555973258234952,-1.0555973258234952,0,0.9357781737275588,0,0,Medium
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-1.0014641296274185,-1.0014641296274185,0,-2.1898304852289754,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.9473309334313418,-0.9473309334313418,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.8931977372352651,-0.8931977372352651,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.8390645410391885,-0.8390645410391885,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.7849313448431118,-0.7849313448431118,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.7307981486470351,-0.7307981486470351,0,1.0511142866041834,0,0,Medium
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.6766649524509584,-0.6766649524509584,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.6225317562548818,-0.6225317562548818,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.5683985600588051,-0.5683985600588051,0,-6.01322262708909,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.5142653638627284,-0.5142653638627284,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.4601321676666517,-0.4601321676666517,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.40599897147057507,-0.40599897147057507,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.35186577527449836,-0.35186577527449836,0,0.3504474008786875,0,0,Medium
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.2977325790784217,-0.2977325790784217,0,0.2610619133993031,0,0,Medium
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.24359938288234503,-0.24359938288234503,0,-3.129819805173468,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.18946618668626836,-0.18946618668626836,0,-1.5929661010924416,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.13533299049019168,-0.13533299049019168,0,-2.9856496640776866,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.08119979429411502,-0.08119979429411502,0,-3.9948406517481545,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,-0.027066598098038335,-0.027066598098038335,0,-0.24641698325784622,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.027066598098038335,0.027066598098038335,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.08119979429411502,0.08119979429411502,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.13533299049019168,0.13533299049019168,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.18946618668626836,0.18946618668626836,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.24359938288234503,0.24359938288234503,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.2977325790784217,0.2977325790784217,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.35186577527449836,0.35186577527449836,0,-2.9856496640776866,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.40599897147057507,0.40599897147057507,0,-9.184965731196273,0,0,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.4601321676666517,0.4601321676666517,0,0.31872996983761565,0,0,Medium
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.5142653638627284,0.5142653638627284,0,0.3504474008786875,0,0,Medium
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.5683985600588051,0.5683985600588051,0,4.387211351560558,0,0,Medium
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.6225317562548818,0.6225317562548818,0,1.8815342993158828,0,0,Medium
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.6766649524509584,0.6766649524509584,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.7307981486470351,0.7307981486470351,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.7849313448431118,0.7849313448431118,0,3.695194674300809,0,0,Medium
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.8390645410391885,0.8390645410391885,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.8931977372352651,0.8931977372352651,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,0.9473309334313418,0.9473309334313418,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,1.0014641296274185,1.0014641296274185,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,1.0555973258234952,1.0555973258234952,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,1.109730522019572,1.109730522019572,0,5.079228028820307,0,0,Medium
0,0,0.0,0,1.0,1,-1.4710894005116406,5,1.1638637182156484,1.1638637182156484,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,1.217996914411725,1.217996914411725,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,1.2721301106078018,1.2721301106078018,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,1.3262633068038785,1.3262633068038785,0,0.004439062248812916,1,1,Low
0,0,0.0,0,1.0,1,-1.4710894005116406,5,1.3803965029999552,1.3803965029999552,0,0.004439062248812916,1,1,Low
